trial,payload_bytes,latency_ns
6,1024,236647
7,1024,246345
8,1024,188335
9,1024,181843
10,1024,229693
11,1024,300297
12,1024,112462
13,1024,222360
14,1024,194938
15,1024,145775
16,1024,268086
17,1024,152498
18,1024,257415
19,1024,179268
20,1024,302501
21,1024,453776
22,1024,268006
23,1024,159642
24,1024,332237
25,1024,120207
26,1024,247246
27,1024,165984
28,1024,254390
29,1024,149823
30,1024,212030
31,1024,220246
32,1024,136678
33,1024,263888
34,1024,183436
35,1024,184488
36,1024,357084
37,1024,467732
38,1024,214986
39,1024,227069
40,1024,250523
41,1024,228902
42,1024,154752
43,1024,219985
44,1024,172686
45,1024,332628
46,1024,80782
47,1024,681687
48,1024,105579
49,1024,446432
50,1024,124295
51,1024,281070
52,1024,232158
53,1024,146346
54,1024,364618
55,1024,68880
56,1024,681646
57,1024,130637
58,1024,305397
59,1024,152208
60,1024,255793
61,1024,349911
62,1024,112172
63,1024,277684
64,1024,116450
65,1024,662440
66,1024,139854
67,1024,327388
68,1024,152959
69,1024,230996
70,1024,114226
71,1024,257376
72,1024,104607
73,1024,274057
74,1024,113504
75,1024,583101
76,1024,190119
77,1024,195999
78,1024,156225
79,1024,358347
80,1024,148931
81,1024,373655
82,1024,146907
83,1024,349380
84,1024,102142
85,1024,569164
86,1024,173557
87,1024,204476
88,1024,324192
89,1024,100179
90,1024,441904
91,1024,118283
92,1024,272524
93,1024,234383
94,1024,530361
95,1024,96603
96,1024,253608
97,1024,117492
98,1024,204596
99,1024,164661
100,1024,177254
1,4096,448376
2,4096,81645
3,4096,826270
4,4096,250843
5,4096,189357
6,4096,437636
7,4096,80823
8,4096,479365
9,4096,106541
10,4096,738654
11,4096,129774
12,4096,457553
13,4096,212180
14,4096,236927
15,4096,226617
16,4096,269509
17,4096,637283
18,4096,85141
19,4096,517046
20,4096,119616
21,4096,355221
22,4096,105399
23,4096,734506
24,4096,116140
25,4096,471560
26,4096,96412
27,4096,400576
28,4096,150434
29,4096,578812
30,4096,144512
31,4096,508018
32,4096,241627
33,4096,299795
34,4096,191401
35,4096,261673
36,4096,460109
37,4096,344230
38,4096,216880
39,4096,392221
40,4096,104026
41,4096,448496
42,4096,163218
43,4096,573663
44,4096,236316
45,4096,211510
46,4096,362103
47,4096,97123
48,4096,465188
49,4096,562712
50,4096,407790
51,4096,307420
52,4096,245463
53,4096,255212
54,4096,291270
55,4096,501065
56,4096,502268
57,4096,124726
58,4096,661178
59,4096,130626
60,4096,594883
61,4096,454718
62,4096,360841
63,4096,288043
64,4096,350692
65,4096,313372
66,4096,561419
67,4096,270871
68,4096,330965
69,4096,168948
70,4096,299666
71,4096,350151
72,4096,449829
73,4096,541892
74,4096,152247
75,4096,446343
76,4096,119996
77,4096,426986
78,4096,377924
79,4096,319172
80,4096,206309
81,4096,252697
82,4096,263397
83,4096,330093
84,4096,454578
85,4096,246345
86,4096,193936
87,4096,354329
88,4096,103084
89,4096,825087
90,4096,170882
91,4096,329793
92,4096,197503
93,4096,262585
94,4096,479675
95,4096,259911
96,4096,238180
97,4096,223802
98,4096,263247
99,4096,245994
100,4096,558714
