trial,payload_bytes,latency_ns,delivered
4,32768,585826,true
5,32768,214084,true
6,32768,323591,true
7,32768,301619,true
8,32768,463124,true
9,32768,304594,true
10,32768,155434,true
11,32768,363295,true
12,32768,375579,true
13,32768,366572,true
14,32768,182936,true
15,32768,313862,true
16,32768,383113,true
17,32768,305737,true
18,32768,294887,true
19,32768,220807,true
20,32768,462482,true
21,32768,192834,true
22,32768,426384,true
23,32768,196050,true
24,32768,605954,true
25,32768,197112,true
26,32768,210808,true
27,32768,362675,true
28,32768,432186,true
29,32768,358646,true
30,32768,272835,true
31,32768,234803,true
32,32768,443187,true
33,32768,371822,true
34,32768,181713,true
35,32768,487821,true
36,32768,309234,true
37,32768,194958,true
38,32768,485707,true
39,32768,480417,true
40,32768,287713,true
41,32768,369246,true
42,32768,383383,true
43,32768,695493,true
44,32768,228541,true
45,32768,437887,true
46,32768,220697,true
47,32768,578852,true
48,32768,187754,true
49,32768,486739,true
50,32768,465088,true
51,32768,267074,true
52,32768,320605,true
53,32768,197713,true
54,32768,344140,true
55,32768,459007,true
56,32768,312770,true
57,32768,278956,true
58,32768,326997,true
59,32768,400266,true
60,32768,259329,true
61,32768,381841,true
62,32768,799619,true
63,32768,412779,true
64,32768,271943,true
65,32768,290648,true
66,32768,500004,true
67,32768,328320,true
68,32768,201861,true
69,32768,526203,true
70,32768,380668,true
71,32768,370439,true
72,32768,387160,true
73,32768,383103,true
74,32768,499453,true
75,32768,401898,true
76,32768,424250,true
77,32768,404624,true
78,32768,466901,true
79,32768,192704,true
80,32768,440020,true
81,32768,518218,true
82,32768,426014,true
83,32768,267656,true
84,32768,242889,true
85,32768,646289,true
86,32768,206209,true
87,32768,416116,true
88,32768,264920,true
89,32768,585996,true
90,32768,333750,true
91,32768,351613,true
92,32768,579063,true
93,32768,197803,true
94,32768,275490,true
95,32768,260461,true
96,32768,435021,true
97,32768,360821,true
98,32768,190670,true
99,32768,267785,true
100,32768,548245,true
1,49152,646720,true
2,49152,291330,true
3,49152,545018,true
4,49152,382853,true
5,49152,360751,true
6,49152,168498,true
7,49152,719308,true
8,49152,336054,true
9,49152,504462,true
10,49152,386209,true
11,49152,490225,true
12,49152,583300,true
13,49152,266543,true
14,49152,534910,true
15,49152,550990,true
16,49152,411556,true
17,49152,419201,true
18,49152,559837,true
19,49152,480767,true
20,49152,354840,true
21,49152,583431,true
22,49152,243149,true
23,49152,559335,true
24,49152,576678,true
25,49152,322439,true
26,49152,473453,true
